health science,NUI-Galway,m,19,U,4,A,4,2,"Scientist, clinical (histocompatibility and immunogenetics)",Product designer,other,father,71,85,8,yes,yes,no,yes,yes,yes,no,4,3,3,2,2,1,80,87,10,27
health science,UCD,f,20,U,8,T,2,4,"Scientist, clinical (histocompatibility and immunogenetics)","Scientist, water quality",home,father,101,87,0,yes,yes,yes,no,no,yes,yes,4,5,3,5,4,3,13,50,4,10
engineering,NCI,m,21,R,8,A,4,3,Public house manager,"Scientist, water quality",reputation,mother,88,71,3,yes,yes,no,yes,yes,yes,no,2,4,5,2,5,2,9,97,94,92
business,DIT,f,19,U,10,A,1,3,"Scientist, clinical (histocompatibility and immunogenetics)",Medical laboratory scientific officer,course,other,182,80,13,no,no,no,yes,yes,yes,yes,1,1,1,1,5,3,5,64,54,0
engineering,UCC,f,15,R,9,A,1,1,Public house manager,Operations geologist,home,other,83,60,3,no,yes,no,yes,yes,yes,yes,1,3,3,3,2,5,17,38,63,5
business,TCD,f,18,U,5,T,1,4,Immunologist,Product designer,other,mother,11,63,0,yes,no,no,yes,no,yes,yes,4,5,3,3,5,3,18,68,29,52
health science,UCC,f,20,R,10,T,3,4,"Scientist, clinical (histocompatibility and immunogenetics)",Chartered certified accountant,reputation,other,112,18,0,yes,yes,no,yes,no,yes,yes,3,2,0,3,5,3,83,2,44,2
health science,UCC,f,19,U,9,T,3,1,Immunologist,Chartered certified accountant,other,mother,27,63,0,yes,no,no,no,yes,yes,no,5,1,1,3,2,4,14,71,55,95
psychology,TCD,m,17,R,4,T,0,1,Public house manager,Medical laboratory scientific officer,reputation,other,119,17,8,no,yes,no,no,no,yes,no,2,1,1,2,2,1,20,44,60,66
health science,NCI,m,20,R,9,T,4,2,"Scientist, clinical (histocompatibility and immunogenetics)","Scientist, water quality",course,mother,209,72,13,yes,yes,no,yes,yes,yes,no,5,2,0,1,1,3,4,65,49,87
psychology,NUI-Galway,f,15,U,6,T,1,3,Public house manager,Operations geologist,home,mother,193,3,2,yes,yes,no,yes,yes,yes,no,3,3,3,4,5,5,35,42,34,30
psychology,DIT,f,22,R,10,A,0,0,Drilling engineer,Product designer,home,mother,234,33,0,yes,no,no,no,yes,yes,no,2,3,3,5,4,1,80,30,28,63
physics,TCD,m,17,R,7,T,0,0,Drilling engineer,Medical laboratory scientific officer,other,mother,157,73,0,yes,yes,no,no,no,yes,yes,3,4,5,1,4,1,37,65,32,81
math,UCC,f,20,R,4,T,2,1,Drilling engineer,"Scientist, water quality",home,other,230,100,0,yes,yes,no,no,no,yes,yes,1,2,0,5,1,1,8,22,78,89
physics,NCI,m,17,R,4,T,1,3,Public house manager,"Scientist, water quality",course,other,54,33,0,yes,yes,no,no,yes,yes,yes,3,2,0,4,2,4,2,28,91,95
physics,UCD,f,22,U,6,T,3,3,Immunologist,Product designer,home,other,83,95,15,yes,yes,no,yes,yes,yes,yes,1,3,3,2,4,2,43,98,5,28
math,DCU,f,22,U,9,A,1,3,Immunologist,Product designer,reputation,father,177,78,2,yes,yes,no,yes,no,yes,no,2,4,5,3,5,4,7,11,32,9
health science,UCD,f,19,U,3,T,4,0,"Scientist, clinical (histocompatibility and immunogenetics)",Operations geologist,course,mother,42,49,0,yes,no,yes,yes,no,yes,no,5,2,0,3,2,3,1,98,57,8
computer science,NUI-Galway,m,21,U,3,T,4,2,"Scientist, clinical (histocompatibility and immunogenetics)",Product designer,other,other,102,33,0,yes,yes,no,no,yes,yes,yes,2,5,5,3,5,4,35,31,76,15
computer science,TCD,m,20,R,6,A,4,2,Drilling engineer,Operations geologist,course,mother,14,44,13,yes,yes,yes,no,no,yes,yes,3,2,0,2,2,5,11,41,31,70
math,NCI,f,18,U,8,A,0,2,"Scientist, clinical (histocompatibility and immunogenetics)",Operations geologist,other,mother,13,28,0,yes,yes,no,yes,no,yes,no,3,1,1,3,3,2,15,57,82,13
psychology,DIT,f,16,R,7,T,0,4,Public house manager,Operations geologist,course,other,144,18,0,no,yes,no,yes,yes,yes,no,1,1,1,3,3,5,19,17,89,75
business,TCD,m,22,R,7,T,1,0,Public house manager,Product designer,course,other,135,72,0,no,no,no,yes,yes,yes,yes,1,2,0,3,4,1,13,43,4,7
business,NCI,m,19,U,3,T,3,0,"Scientist, clinical (histocompatibility and immunogenetics)",Product designer,home,other,7,68,0,yes,yes,no,no,yes,yes,yes,1,1,1,3,3,3,35,7,97,2
physics,UCD,m,22,U,10,A,0,0,Public house manager,Product designer,course,mother,123,34,2,yes,yes,no,no,no,yes,yes,5,2,0,1,4,1,4,67,63,79
computer science,NCI,f,16,R,9,T,4,1,Immunologist,Operations geologist,other,mother,145,41,0,yes,yes,no,no,no,yes,no,3,2,0,1,1,5,13,64,3,4
engineering,TCD,m,15,U,5,A,2,3,"Scientist, clinical (histocompatibility and immunogenetics)",Operations geologist,home,other,87,108,6,yes,no,yes,yes,no,yes,no,1,4,5,4,5,1,15,0,19,81
psychology,NCI,f,22,U,3,A,3,1,Drilling engineer,Operations geologist,other,other,173,42,0,yes,yes,no,no,yes,yes,no,3,1,1,1,1,1,9,73,21,33
psychology,TCD,f,20,U,4,A,1,1,IT consultant,"Scientist, water quality",course,mother,19,22,0,yes,no,yes,no,yes,yes,no,5,3,3,1,1,1,15,56,83,2
computer science,DCU,m,19,U,9,A,0,0,IT consultant,Operations geologist,other,mother,174,119,0,yes,no,no,yes,no,yes,yes,1,3,3,4,4,4,27,68,66,30
